Name,latitude,longtitude
Duke Field,30.650278,-86.522778
Naval Air Station Joint Reserve Base Fort Worth,32.769167, -97.441667
Niagara Falls Air Reserve Station / Niagara Falls International Airport, 43.113333, -78.9475
Westover Air Reserve Base,42.193889,-72.534722
Youngstown Air Reserve Station / Youngstown-Warren Regional Airport, 41.260733, -80.679094
Clear Air Force Station,64.290556, -149.186944
Channel Islands Air National Guard Station,34.115, -119.110278
Capital Airport Air National Guard Station Abraham Lincoln Capital Airport,39.844167, -89.678056
Barnes Municipal Airport,42.165556,-72.720556
Stewart Air National Guard Base / Stewart International Airport,41.504167,-74.104722
