year,state,country,shape,duration,latitude,longtitude
1949,Texas,us,cylinder,2700,29.8830556,-97.9411111
1956,Texas,us,circle,20,28.9783333,-96.6458333
1960,Hawaii,us,light,900,21.4180556,-157.8036111
1961,Tennessee,us,sphere,300,36.5950000,-82.1888889
1965,Connecticut,us,disk,1200,41.1175000,-73.4083333
1966,Alabama,us,disk,180,33.5861111,-86.2861111
1966,Florida,us,disk,120,30.2947222,-82.9841667
1968,California,us,circle,300,33.9163889,-118.3516667
1968,North Carolina,us,fireball,180,35.2333333,-82.7344444
1970,New York,us,disk,1800,40.6686111,-73.5275000
1970,Kentucky,us,unknown,180,37.1536111,-83.7619444
1971,North Carolina,us,oval,30,35.8238889,-80.2536111
1972,Kentucky,us,circle,1200,36.8430556,-83.3219444
1972,Michigan,us,disk,120,42.5377778,-83.2330556
1973,Connecticut,us,disk,1800,41.3252778,-72.1936111
1974,Massachusetts,us,other,2700,42.3916667,-71.5666667
1974,Kansas,us,light,1200,38.1055556,-98.6597222
1975,South Carolina,us,light,360,32.8544444,-79.9750000
1976,Washington,us,oval,60,45.5827778,-122.3522222
1977,Texas,us,other,30,29.4238889,-98.4933333
1977,Kentucky,us,light,30,38.2541667,-85.7594444
1978,New York,us,rectangle,300,40.7008333,-73.7133333
1979,New York,us,chevron,900,41.7002778,-73.9213889
1979,California,us,oval,180,32.7152778,-117.1563889
1979,Colorado,us,unknown,1800,38.7583333,-104.7425000
1980,Texas,us,sphere,180,29.7630556,-95.3630556
1980,Texas,us,unknown,300,32.7833333,-96.8000000
1980,New Hampshire,us,light,300,42.9955556,-71.4552778
1984,Texas,us,circle,60,29.7630556,-95.3630556
1984,Michigan,us,other,120,44.7630556,-85.6205556
1984,New York,us,formation,20,41.0338889,-73.7633333
1988,Wisconsin,us,triangle,600,43.0388889,-87.9063889
1988,Maine,us,unknown,120,43.9627778,-70.2830556
1988,Colorado,us,light,60,40.0150000,-105.2700000
1988,Washington,us,unknown,2,47.6063889,-122.3308333
1989,California,us,disk,300,34.1577778,-118.6375000
1989,Washington,us,triangle,60,46.7163889,-122.9530556
1990,Georgia,us,triangle,120,31.7058333,-83.6533333
1991,North Carolina,us,unknown,1800,35.2350000,-75.6288889
1991,Pennsylvania,us,triangle,600,40.2736111,-76.8847222
1992,Florida,us,formation,3600,30.1586111,-85.6602778
1992,Texas,us,unknown,10,29.6158333,-95.5575000
1992,Tennessee,us,cigar,60,35.8905556,-83.7247222
1992,Texas,us,unknown,30,32.7591667,-97.7969444
1993,Illinois,us,light,8,40.6936111,-89.5888889
1993,Tennessee,us,other,60,36.2522222,-85.9516667
1994,New York,us,rectangle,120,42.9097222,-73.8955556
1994,Arkansas,us,light,5,34.1027778,-91.9922222
1995,Wisconsin,us,other,120,43.0388889,-87.9063889
1995,California,us,other,60,37.8044444,-122.2697222
1996,Missouri,us,triangle,3,39.0725000,-93.7169444
1996,South Carolina,us,light,300,32.7763889,-79.9311111
1996,Ohio,us,cylinder,60,39.4402778,-84.3622222
1997,Indiana,us,delta,14400,39.6411111,-85.1411111
1997,Arizona,us,sphere,30,33.4222222,-111.8219444
1997,Georgia,us,triangle,300,32.5436111,-83.5961111
1997,Minnesota,us,other,3600,43.6666667,-92.9744444
1998,California,us,changing,300,34.0983333,-118.3258333
1998,Arizona,us,fireball,15,33.4483333,-112.0733333
1998,Illinois,us,cylinder,1800,42.0372222,-88.2811111
1998,Nevada,us,cigar,600,36.1750000,-115.1363889
1998,Nevada,us,circle,2700,36.1750000,-115.1363889
1998,Washington,us,triangle,600,47.6588889,-117.4250000
1998,North Carolina,us,light,2,35.5847222,-80.8102778
1998,Tennessee,us,fireball,15,35.2650000,-84.5533333
1999,California,us,changing,3600,38.0194444,-122.1330556
1999,Kansas,us,unknown,600,39.1141667,-94.6272222
1999,Texas,us,other,10,32.7833333,-96.8000000
1999,California,us,fireball,3600,32.7152778,-117.1563889
1999,Washington,us,sphere,45,46.2113889,-119.1361111
1999,California,us,circle,90,37.6688889,-122.0797222
1999,Nevada,us,light,10800,37.6447222,-115.7427778
1999,Nebraska,us,sphere,300,41.6916667,-97.4841667
1999,Oregon,us,chevron,240,45.5650000,-117.9163889
1999,Michigan,us,oval,2700,44.8838889,-84.3055556
2000,Missouri,us,oval,180,37.7241667,-89.8611111
2000,Florida,us,other,10,26.5250000,-80.0666667
2000,Missouri,us,light,1800,38.1266667,-92.0844444
2000,Kentucky,us,light,5,38.9988889,-84.6266667
2000,Washington,us,unknown,10,47.6063889,-122.3308333
2000,Washington,us,diamond,60,47.5405556,-122.6350000
2001,Iowa,us,triangle,240,42.3952778,-94.6336111
2001,California,us,circle,120,37.6688889,-122.0797222
2001,Iowa,us,rectangle,300,41.0041667,-92.3736111
2001,California,us,changing,900,36.7477778,-119.7713889
2001,Arizona,us,triangle,60,33.4483333,-112.0733333
2001,Virginia,us,triangle,30,36.8527778,-75.9783333
2002,Wisconsin,us,flash,43,46.0130556,-91.4844444
2002,Oregon,us,unknown,5,44.5402778,-123.3663889
2002,Washington,us,sphere,90,47.6063889,-122.3308333
2002,Ohio,us,other,1800,39.1619444,-84.4569444
2002,Oregon,us,circle,120,45.5236111,-122.6750000
2003,California,us,oval,300,34.0952778,-118.1261111
2003,Indiana,us,sphere,1800,39.7683333,-86.1580556
2003,Virginia,us,other,600,38.8402778,-77.4291667
2003,Idaho,us,light,15,42.9897222,-116.0925000
2003,Michigan,us,oval,18000,41.7791667,-83.5688889
2003,South Carolina,us,formation,37800,33.8075000,-78.7011111
2003,New Mexico,us,light,180,35.0844444,-106.6505556
2003,Wisconsin,us,sphere,1800,45.3088889,-89.4963889
2004,New Jersey,us,triangle,180,41.0886111,-74.1441667
2004,Indiana,us,sphere,5,39.4666667,-87.4138889
2004,Indiana,us,oval,15,39.7683333,-86.1580556
2004,West Virginia,us,circle,10,39.6294444,-79.9561111
2004,California,us,unknown,180,37.8716667,-122.2716667
2004,Illinois,us,sphere,3600,41.5094444,-90.5786111
2004,New York,us,circle,900,42.2669444,-79.7108333
2004,Minnesota,us,flash,900,44.2950000,-93.2686111
2004,Ohio,us,light,7200,40.7583333,-82.5155556
2004,Missouri,us,light,60,38.9516667,-92.3338889
2004,Wisconsin,us,sphere,3000,45.3088889,-89.4963889
2005,Washington,us,other,60,47.6063889,-122.3308333
2005,Arizona,us,other,30,33.4150000,-111.5488889
2005,Florida,us,oval,1800,25.9327778,-80.1627778
2005,California,us,egg,10,34.0522222,-118.2427778
2005,Pennsylvania,us,triangle,300,40.5030556,-78.6305556
2005,Tennessee,us,unknown,240,35.4491667,-86.7888889
2005,Florida,us,other,3600,25.9327778,-80.1627778
2005,Washington,us,light,1200,47.4158333,-120.2919444
2005,North Carolina,us,light,600,35.3186111,-82.4611111
2005,Minnesota,us,disk,300,46.3580556,-94.2005556
2006,Texas,us,diamond,3600,31.1911111,-95.2352778
2006,California,us,triangle,600,37.7750000,-122.4183333
2006,Georgia,us,unknown,10,34.8761111,-83.9583333
2006,Tennessee,us,light,600,35.2247222,-88.2491667
2006,Virginia,us,triangle,600,38.0683333,-78.8897222
2006,Oklahoma,us,other,360,34.6377778,-97.8172222
2006,Georgia,us,light,120,31.2133333,-82.3541667
2006,Texas,us,disk,300,33.5058333,-102.0086111
2006,Ohio,us,unknown,300,41.5200000,-81.4888889
2007,Oregon,us,light,14400,44.5366667,-122.9058333
2007,Georgia,us,changing,3600,33.5441667,-84.2338889
2007,Colorado,us,changing,2700,39.7391667,-104.9841667
2007,Florida,us,sphere,30,30.3319444,-81.6558333
2007,California,us,oval,600,33.7205556,-116.2147222
2007,New York,us,triangle,10800,42.1033333,-76.2625000
2007,Pennsylvania,us,circle,120,40.0063889,-75.7036111
2007,Texas,us,flash,3,30.2669444,-97.7427778
2007,Georgia,us,sphere,60,33.5394444,-83.8194444
2007,Georgia,us,unknown,3600,33.6675000,-84.0177778
2007,Florida,us,unknown,30,27.6383333,-80.3975000
2007,Florida,us,oval,120,27.2541667,-80.2300000
2007,Texas,us,formation,35,29.7630556,-95.3630556
2007,Minnesota,us,light,600,46.7833333,-92.1063889
2007,Colorado,us,circle,600,40.6800000,-102.8388889
2007,Pennsylvania,us,unknown,3600,41.1577778,-80.0888889
2007,Texas,us,other,4,33.4213889,-96.5769444
2007,Colorado,us,triangle,15,39.8855556,-104.9866667
